Postcode,latitude,longitude
TR26 3BJ,50.207394,-5.519748
TR3 6DZ,50.262981,-5.108247
TR1 1RJ,50.272203,-5.037867
PL26 6ET,50.30012,-4.832315
PL3 4LS,50.388148,-4.140536
PL7 4QZ,50.396629,-4.071605
TQ10 9LT,50.430059,-3.794045
TQ3 1RN,50.456577,-3.586689
TQ1 1PU,50.464399,-3.516427
PO30 2ES,50.70652,-1.283989
PO33 1AG,50.720323,-1.143949
TN38 9JB,50.872884,0.543723
TN35 5DD,50.8778,0.613068
PL25 3RR,50.352577,-4.776543
PL5 4LR,50.43177,-4.154247
PL6 7JX,50.440996,-4.084753
PO31 7AG,50.750869,-1.295135
BN14 9QS,50.837694,-0.382365
BN1 5LF,50.856066,-0.170397
TN33 9NS,50.904965,0.392389
PL26 8QZ,50.39633,-4.790823
TQ14 9RD,50.552651,-3.542648
BH12 2NN,50.732018,-1.936781
BH9 1BX,50.738875,-1.867389
BH23 2JN,50.745725,-1.7968
PO13 9RU,50.809361,-1.164816
PO19 3QB,50.842727,-0.814167
PO18 0FP,50.849481,-0.743687
BN44 3FH,50.888156,-0.320479
TN21 9PN,50.943815,0.314519
TN28 8XQ,50.995175,0.950551
TR8 4JF,50.422526,-4.942501
PL14 5HT,50.484971,-4.458197
PL17 7AW,50.503476,-4.320073
PL17 8JP,50.5116,-4.251313
TQ13 7PN,50.562414,-3.833195
DT2 7RY,50.723223,-2.438759
BH21 3BX,50.768265,-2.018362
SO45 2NW,50.833074,-1.386412
PO14 4BY,50.847137,-1.246485
PO16 7ER,50.853776,-1.17634
PO7 5HP,50.867244,-1.035049
RH20 4JU,50.920021,-0.472118
RH15 0HD,50.951647,-0.120019
BN8 4RT,50.963344,0.021228
TN22 1BA,50.969686,0.091624
TN26 2QJ,51.033721,0.869907
BH22 0LE,50.826954,-1.889843
BH24 3HF,50.841784,-1.750296
SO31 8LT,50.884379,-1.328183
PO17 5DE,50.898167,-1.187959
RH13 8LQ,50.977882,-0.342228
RH17 5QZ,50.989825,-0.200268
TN22 3EW,51.014216,0.081879
TN6 3RS,51.026197,0.223827
TN5 7EL,51.038397,0.366832
TN18 4JR,51.050256,0.507129
CT17 9HJ,51.111761,1.287279
PL19 0ND,50.617048,-4.137272
EX2 8XR,50.692518,-3.511554
BH24 3QG,50.878814,-1.829945
SO15 2TU,50.921552,-1.409236
SO30 3AA,50.928102,-1.339378
RH13 9JJ,51.02165,-0.350722
TN3 9LT,51.070515,0.215301
